"YearOfBirth"	"Sex"	"Topic"	"Font"	"Agreement"
"11"	"1980"	"Male"	"PopCulture"	"sans-serif"	3.05263157894737
"12"	"1979"	"Male"	"Science"	"sans-serif"	3.1
"131"	"1984"	"Male"	"Science"	"sans-serif"	3.5
"151"	"1970"	"Female"	"Science"	"sans-serif"	3.65
"161"	"1993"	"Female"	"Science"	"sans-serif"	3.45
"171"	"1972"	"Female"	"PopCulture"	"sans-serif"	3.63157894736842
"181"	"1975"	"Female"	"Science"	"sans-serif"	2.85
"191"	"1979"	"Female"	"PopCulture"	"sans-serif"	3.42105263157895
"201"	"1975"	"Male"	"Science"	"sans-serif"	3.45
"211"	"1949"	"Male"	"PopCulture"	"sans-serif"	3.78947368421053
"221"	"1979"	"Female"	"Science"	"sans-serif"	3.7
"231"	"1986"	"Female"	"Science"	"sans-serif"	3.55
"241"	"1987"	"Female"	"PopCulture"	"sans-serif"	3.15789473684211
"261"	"1982"	"Male"	"Science"	"sans-serif"	3.5
"271"	"1994"	"Male"	"PopCulture"	"sans-serif"	3.52631578947368
"281"	"1991"	"Male"	"Science"	"sans-serif"	3.2
"291"	"1993"	"Female"	"PopCulture"	"sans-serif"	3.26315789473684
"301"	"1991"	"Female"	"Science"	"sans-serif"	3.3
"311"	"1974"	"Male"	"Science"	"sans-serif"	3.35
"321"	"1969"	"Female"	"Science"	"sans-serif"	3.25
"331"	"1992"	"Female"	"Science"	"sans-serif"	3.4
"341"	"1980"	"Male"	"PopCulture"	"sans-serif"	3.47368421052632
"351"	"1978"	"Male"	"PopCulture"	"sans-serif"	3.15789473684211
"361"	"1991"	"Female"	"PopCulture"	"sans-serif"	3.21052631578947
"371"	"1974"	"Male"	"Science"	"sans-serif"	3.15
"381"	"1981"	"Male"	"Science"	"sans-serif"	3.4
"401"	"1992"	"Female"	"PopCulture"	"sans-serif"	3.36842105263158
"411"	"1986"	"Male"	"Science"	"sans-serif"	3.9
"421"	"1988"	"Female"	"Science"	"sans-serif"	3.15
"431"	"1950"	"Female"	"PopCulture"	"sans-serif"	3.31578947368421
"441"	"1982"	"Male"	"Science"	"sans-serif"	3
"451"	"1985"	"Male"	"Science"	"sans-serif"	3.1
"461"	"1995"	"Male"	"PopCulture"	"sans-serif"	3.57894736842105
"471"	"1988"	"Female"	"PopCulture"	"sans-serif"	3.21052631578947
"481"	"1984"	"Female"	"Science"	"sans-serif"	3.55
"501"	"1968"	"Female"	"Science"	"sans-serif"	2.8
"511"	"1998"	"Male"	"PopCulture"	"sans-serif"	3.21052631578947
"521"	"1988"	"Male"	"PopCulture"	"sans-serif"	3.47368421052632
"531"	"1991"	"Female"	"Science"	"sans-serif"	2.6
"541"	"1995"	"Male"	"PopCulture"	"sans-serif"	3.05263157894737
"551"	"1973"	"Female"	"Science"	"sans-serif"	3.8
"561"	"1966"	"Male"	"PopCulture"	"sans-serif"	3.68421052631579
"571"	"1985"	"Male"	"Science"	"sans-serif"	3.5
"581"	"1997"	"Male"	"Science"	"sans-serif"	3.35
"591"	"1987"	"Male"	"PopCulture"	"sans-serif"	4.42105263157895
"601"	"1947"	"Male"	"Science"	"sans-serif"	3.05
"611"	"1981"	"Male"	"Science"	"sans-serif"	3.15
"621"	"1960"	"Female"	"PopCulture"	"sans-serif"	2.89473684210526
"631"	"1993"	"Female"	"PopCulture"	"sans-serif"	3.63157894736842
"64"	"1991"	"Male"	"Science"	"sans-serif"	3.1
"65"	"1996"	"Male"	"Science"	"sans-serif"	2.6
"661"	"1954"	"Female"	"PopCulture"	"sans-serif"	3.36842105263158
"671"	"1992"	"Female"	"Science"	"sans-serif"	3.35
"681"	"1989"	"Male"	"Science"	"sans-serif"	3.45
"691"	"1974"	"Female"	"PopCulture"	"sans-serif"	3.57894736842105
"71"	"1987"	"Male"	"Science"	"sans-serif"	3.7
"721"	"1982"	"Female"	"PopCulture"	"sans-serif"	3.10526315789474
"741"	"1996"	"Female"	"Science"	"sans-serif"	3.3
"751"	"1984"	"Male"	"PopCulture"	"sans-serif"	3.15789473684211
"771"	"1976"	"Female"	"PopCulture"	"sans-serif"	3.10526315789474
"781"	"1951"	"Male"	"Science"	"sans-serif"	3.35
"801"	"1962"	"Female"	"PopCulture"	"sans-serif"	3.05263157894737
"811"	"1969"	"Male"	"PopCulture"	"sans-serif"	3
"821"	"1993"	"Female"	"Science"	"sans-serif"	3
"831"	"1961"	"Female"	"Science"	"sans-serif"	3.3
"85"	"1979"	"Female"	"PopCulture"	"sans-serif"	3
"871"	"1984"	"Female"	"PopCulture"	"sans-serif"	3.78947368421053
"88"	"1978"	"Female"	"Science"	"sans-serif"	3.05
"891"	"1985"	"Female"	"PopCulture"	"sans-serif"	3.10526315789474
"901"	"1980"	"Female"	"Science"	"sans-serif"	3.6
"911"	"1984"	"Male"	"PopCulture"	"sans-serif"	3.21052631578947
"921"	"1986"	"Male"	"Science"	"sans-serif"	3.25
"93"	"1979"	"Female"	"PopCulture"	"sans-serif"	3.42105263157895
"941"	"1979"	"Female"	"PopCulture"	"sans-serif"	3.15789473684211
"951"	"1985"	"Female"	"Science"	"sans-serif"	3.6
"961"	"1995"	"Female"	"Science"	"sans-serif"	3.25
"971"	"1984"	"Female"	"PopCulture"	"sans-serif"	3.78947368421053
"981"	"1986"	"Female"	"PopCulture"	"sans-serif"	3.26315789473684
"1001"	"1982"	"Male"	"Science"	"sans-serif"	2.95
"1011"	"1956"	"Male"	"Science"	"sans-serif"	3.4
"102"	"1963"	"Male"	"PopCulture"	"sans-serif"	3.26315789473684
"103"	"1989"	"Female"	"Science"	"sans-serif"	3.35
"1041"	"1981"	"Female"	"Science"	"sans-serif"	2.85
"1051"	"1990"	"Male"	"PopCulture"	"sans-serif"	3.26315789473684
"1061"	"1987"	"Male"	"Science"	"sans-serif"	3.2
"1071"	"1978"	"Male"	"PopCulture"	"sans-serif"	3.05263157894737
"1091"	"1978"	"Male"	"PopCulture"	"sans-serif"	3.31578947368421
"1101"	"1984"	"Male"	"PopCulture"	"sans-serif"	3.15789473684211
"1111"	"1960"	"Female"	"PopCulture"	"sans-serif"	3.26315789473684
"1121"	"1984"	"Female"	"Science"	"sans-serif"	4.15
"1131"	"1962"	"Female"	"Science"	"sans-serif"	3.4
"1141"	"1972"	"Female"	"PopCulture"	"sans-serif"	3.05263157894737
"1151"	"1991"	"Female"	"PopCulture"	"sans-serif"	3.47368421052632
"1161"	"1987"	"Male"	"Science"	"sans-serif"	4.2
"1181"	"1988"	"Female"	"Science"	"sans-serif"	3.1
"121"	"1991"	"Female"	"PopCulture"	"sans-serif"	3.42105263157895
"122"	"1987"	"Male"	"PopCulture"	"sans-serif"	3.15789473684211
"123"	"1978"	"Male"	"Science"	"sans-serif"	3.45
"124"	"1965"	"Female"	"PopCulture"	"sans-serif"	2.36842105263158
"125"	"1987"	"Female"	"Science"	"sans-serif"	3.2
